page_id,page_nombre,url,tipo_pagina,titulo_principal,subtitulo,descripcion_principal,textos_cuerpo,ctas,metricas
"integraciones","Integraciones","/#integraciones","Integraciones / Ecosistema tecnológico","Integraciones de Clientum","Conectividad Total","Sincroniza de forma automática Clientum CRM con tus aplicaciones favoritas, pasarelas de pago y sistemas de facturación.","WhatsApp Business API [Oficial & Seguro]: Conecta tu línea oficial de WhatsApp para automatizar respuestas de bots, enviar flujos pre-aprobados por Meta y realizar campañas masivas sin riesgo de baneo. || Facebook & Instagram Ads [Tiempo Real]: Sincroniza instantáneamente tus formularios de clientes potenciales (Lead Ads) para que impacten en tiempo real en las columnas de tu embudo comercial. || WooCommerce & Shopify [Automatizado]: Sincronización bidireccional en tiempo real de productos, variaciones de precios, stock unificado y recuperación automatizada de carritos de compras abandonados. || AFIP Facturación [Conector AFIP]: Emisión y envío automático de facturas electrónicas A, B o C asociadas directamente con cada transacción comercial ganada en tu CRM. || MercadoPago & Stripe [Finanzas]: Generación dinámica de links de pago desde el bot conversacional de WhatsApp y conciliación inmediata en tu libro diario contable. || ERPs Tradicionales (Tango / Bejerman) [Enterprise]: Sincronizador inteligente mediante API REST para control de stock mayorista, listas de precios avanzadas y compras. || API REST & Webhooks: Arquitectura abierta para integrar Clientum fácilmente. Webhooks personalizados para notificar compras, registrar prospectos o disparar alertas en tiempo real. || Ecosistema: E-Commerce (WooCommerce, Shopify, PrestaShop, Tiendanube, MercadoShops, Jumpseller) | Pagos (MercadoPago, PayPal, Stripe, Modo, GetNet/Prisma, Naranja X) | Mensajería (WhatsApp Business API, Meta, Twilio, 360dialog, Telegram, Gmail, SMTP) | Marketing (Meta Ads, Google Ads, TikTok, LinkedIn, Mailchimp, ActiveCampaign, Brevo) | ERP (AFIP, Dolibarr, Odoo, Contabilium, Colppy, Xubio, Tango) | Cloud (Google Cloud, AWS, Azure, Cloudflare, DigitalOcean, Hostinger) | Analytics (Google Analytics 4, Looker Studio, Power BI, Meta Pixel, Hotjar, Tableau) | Productividad (Google Workspace, Microsoft 365, Slack, Zoom, Teams, Notion, Trello/Jira) | Seguridad (SSL, Cloudflare WAF, reCAPTCHA, 2FA, OAuth 2.0) | IA (OpenAI GPT-4, Google Gemini, Anthropic Claude, Whisper, ElevenLabs, Stability AI)","Solicitar Integración | Ver API Docs","60+ herramientas | 10 categorías"
"asociacion","Asociación / Partners","/#asociacion","Partners / Afiliados / Programa","Asociate y potenciá tu negocio con Clientum","Programa de Alianzas","Sumate a nuestro ecosistema y ganá dinero ayudando a digitalizar PyMEs de la Patagonia y toda Latinoamérica.","Programa de Afiliados: Para influencers de negocios, creadores de contenido, mentores y profesionales. 30% de Comisión Recurrente de por vida | Panel Transparente con clicks, conversiones y comisiones | Material de Soporte Gratuito (banners, videos, plantillas). || Partners de Implementación: Para agencias de marketing digital, consultores e implementadores de software. Precios de Revendedor Preferenciales (White Label) | Capacitación y Certificación VIP | Derivación de Leads Locales. || Niveles: Nivel 01 Afiliado (sin requisitos técnicos, comisión recurrente) | Nivel 02 Partner Certificado (agencias, onboarding técnico, precios de revendedor, soporte prioritario) | Nivel 03 Partner Preferente (marca blanca completa, derivación de leads, presencia en clientum.com.ar). || Cuatro pasos: 1. Postulate | 2. Reunión inicial | 3. Onboarding | 4. A vender. || Tecnologías: E-Commerce & Tiendas Online | Pagos & Cobros | Mensajería & Comunicación | Marketing & Publicidad | ERP Facturación & Contabilidad | Cloud Hosting & Servidores | Analytics & BI | Productividad & Colaboración | Seguridad & Infraestructura | Inteligencia Artificial.","Unirme como Afiliado Gratis | Postularme como Partner Certificado","30% comisión recurrente | 3 niveles | 4 pasos"
"ayuda","Ayuda / Soporte","/#ayuda","Soporte / Ayuda / FAQ","Soporte & Base de Conocimiento","Centro de Ayuda","Encuentra respuestas inmediatas a tus dudas técnicas o contáctate directamente con nuestro equipo de soporte prioritario.","Preguntas Frecuentes (FAQ) con acordeón interactivo — respuestas a las dudas más comunes sobre la plataforma Clientum. || Canal de Soporte de WhatsApp: ¿Necesitas asistencia inmediata? Chatea directamente con nuestro bot calificador y sé derivado a un operador técnico si es necesario. Atendemos consultas generales las 24 horas. || Soporte por Correo Electrónico: Para consultas de facturación, contratos corporativos, solicitudes de integraciones complejas con ERP locales o problemas con cursos de Clientum Academia.","Iniciar Chat WhatsApp | Enviar Correo de Soporte","Atención 24 horas via WhatsApp"
"privacidad","Política de Privacidad","/#privacidad","Legal / Política de Privacidad","Política de Privacidad","Actualizado: Julio de 2026","Clientum se compromete a salvaguardar los datos personales recolectados a través de nuestros CRM, formularios de consulta o enrolamientos en Clientum Academia.","1. Quiénes somos: La dirección de nuestra web oficial es https://web.clientum.com.ar. Clientum se compromete a salvaguardar los datos personales recolectados a través de nuestros CRM, formularios de consulta o enrolamientos en Clientum Academia. || 2. Qué datos personales recopilamos: Nombres comerciales, números de WhatsApp, correos electrónicos y descripciones de dolores de negocio. También guardamos cookies de sesión para simplificar la navegación interactiva. || 3. Derechos sobre tus datos: Podés solicitar un archivo exportado de los datos que tenemos sobre ti. También podés solicitar que eliminemos cualquier información personal de nuestra base de datos activa.","Volver al Inicio",""
"chatbot","Chatbot WhatsApp","/#chatbot","Función / Chatbot WhatsApp","Tu negocio atiende solo, las 24 horas","Chatbot WhatsApp","El chatbot de Clientum responde consultas, califica leads y agenda citas en WhatsApp — sin que toques nada. Operativo en una semana.","Sin tarjeta de crédito | Sin código ni IT | Operativo en 1 semana || Demo de conversación: Usuario: ¿tienen stock del producto X? → Bot: ¡Hola! Sí, tenemos stock. ¿Cuántas unidades necesitás? → Usuario: 20 unidades. ¿Hacen envío? → Bot: Sí, hacemos envío a todo el país. Te contacto con un asesor para confirmar. ¿Cuál es tu nombre? || Este bot trabaja 24/7 sin que nadie lo atienda. || Estadísticas: 24/7 Atención ininterrumpida | +60% Consultas resueltas sin humano | 1 semana Tiempo de implementación || ¿Listo para automatizar tu atención al cliente? Probá el chatbot de WhatsApp 14 días gratis, sin compromisos.","Probar 14 días gratis | Ver demo | Probar gratis","24/7 | +60% consultas sin humano | 1 semana implementación"
"crm_inteligente","CRM Inteligente","/#crm_inteligente","Función / CRM","Nunca más perdas una venta","CRM Inteligente","Gestioná contactos, leads y deals en un pipeline visual. Con seguimiento automático y alertas para que nada se te escape.","Sin tarjeta de crédito | Fácil de usar | Soporte incluido || Pipeline de ventas: Prospecto | Contactado | Propuesta | Negociación | Ganado. Arrastrá y soltá entre etapas. || Funcionalidades: Contactos y empresas unificados (historial completo) | Pipeline visual de ventas | Seguimiento automático (alertas cuando un deal lleva días sin actividad) | Integración con WhatsApp y AFIP. || Módulos: CRM & Ventas | Gestión de terceros | Contratos y facturación | Finanzas | Gestión documental | Recursos Humanos | Productividad | Manufactura | Omnicanal | Administración e integración. || Un software completamente modular: activás sólo las funciones que tu empresa necesita. Se ejecuta 100% en la nube. || Organizá tu pipeline hoy. Probalo 14 días gratis y cerrá más ventas desde la primera semana.","Probar gratis","10 módulos | 100% en la nube"
"asistente_ia","Asistente IA","/#asistente_ia","Función / Asistente IA","Tu analista de negocio, siempre disponible","Asistente IA","Preguntale cualquier cosa sobre tu CRM y recibís respuestas al instante. Reportes, sugerencias y acciones sin aprender ninguna herramienta.","Sin configuración | Incluido en todos los planes | Responde en castellano || Ejemplos: ¿Cuántos leads tengo esta semana? → Esta semana registraste 12 leads nuevos. ↑ 3 más que la semana pasada. || ¿Cuáles deals están estancados? → 4 deals sin actividad hace +7 días. ¿Querés que genere un mensaje de seguimiento? || Preguntas de ejemplo: ¿Cuántos leads tuve esta semana? | Mostrá el resumen del pipeline | ¿Cuál es el contacto con más actividad? | Generá un borrador de propuesta para Empresa X || Tu analista de negocio, siempre disponible. Incluido en todos los planes sin costo adicional.","Probar gratis","Incluido en todos los planes | Responde en castellano"
"reportes","Reportes Automáticos / Business Intelligence","/#reportes","Función / BI / Reportes","Tomá decisiones con datos reales","Reportes Automáticos","Reportes automáticos de ventas, actividad, facturación y atención al cliente. Sin armar planillas, sin pedir datos al equipo.","Dashboard en tiempo real | Reportes automáticos por email | Exportá a Excel o PDF || Dashboard ejemplo: 18 Deals activos (+3) | $480K Ingresos del mes (+12%) | 34 Leads nuevos (+7) | 23% Tasa de cierre (+5%) || Tipos de reportes: Pipeline de ventas | Actividad del equipo | Leads y conversiones | Facturación y pagos | Contactos y empresas | WhatsApp y atención || E-marketing y gerenciamiento: Seguimiento de las principales métricas de negocio y gestión. Planificamos, implementamos y administramos canales digitales con herramientas de e-marketing enfocadas en la conversión. || Servicios: E-marketing | SEO y SEM | Marketing Automation | Email Marketing & Social Ads | Ejecución y optimización de campañas | Gestión de medios de pago || Datos claros para decisiones rápidas. Probá los reportes automáticos 14 días sin costo.","Probar gratis","6 tipos de reportes | Dashboard en tiempo real"
"automatizacion","Automatización","/#automatizacion","Función / Automatización","Hacé más con menos esfuerzo","Automatización","Automatizá seguimientos, alertas, emails y tareas. Tu equipo se enfoca en vender — el sistema hace el resto.","Sin código | Flujos visuales | Activación inmediata || Flujo automático de ventas: 1. Lead entra por WhatsApp → 2. Bot califica y registra en CRM → 3. Se asigna asesor automáticamente → 4. Recordatorio si no hay actividad en 2 días → 5. Deal ganado → factura generada. Se ejecuta automáticamente, sin intervención manual. || Automatizaciones disponibles: Recordatorios automáticos (alertas cuando un deal no tiene actividad en X días) | Seguimiento por WhatsApp (mensajes automáticos a leads que no respondieron en 48hs) | Emails de nurturing (secuencias según etapa del lead) | Facturas automáticas (al cerrar un deal como ganado) | Sincronización de datos en tiempo real | Tareas programadas al avanzar una etapa. || Automatizá tu negocio hoy. Probalo 14 días gratis y activá tus primeros flujos en minutos.","Probar gratis","6 tipos de automatizaciones | Sin código"
"portal_cliente","Portal del Cliente","/#portal_cliente","Función / Portal del Cliente","Tus clientes se autoatienden","Portal del Cliente","Un portal privado donde cada cliente ve sus facturas, pedidos y cotizaciones. Menos llamadas, más satisfacción.","Con tu marca | Acceso seguro | Funciona en celular || Portal: Mis Facturas | Mis Pedidos | Mis Cotizaciones | Mensajes || Funcionalidades: Facturas y pagos en línea (historial completo, estado de cada pago) | Seguimiento de pedidos en tiempo real | Cotizaciones digitales aprobadas con un click | Mensajería directa sin WhatsApp personal | Con tu marca (logo, colores, dominio personalizado) | Acceso seguro (usuario y contraseña individual, solo ve sus propios datos). || Menos llamadas, más satisfacción. Tus clientes se autoatienden. Vos te enfocás en crecer.","Probar gratis | Ver demo del portal","6 funcionalidades | Marca propia"
"desarrollo_web","Desarrollo Web","/#desarrollo_web","Función / Desarrollo Web / E-Commerce","Tu presencia web, conectada al CRM","Desarrollo Web","Sitios web, landing pages y e-commerce integrados con Clientum. Cada visita que convierte entra directo a tu pipeline — nada se pierde.","Diseño moderno y responsivo | Integrado con WhatsApp y CRM | Presupuesto en 48 horas || Servicios: Sitio web corporativo (presencia profesional, SEO) | Landing pages de conversión (integradas con CRM) | Aplicaciones web a medida | E-commerce integrado (sincronizado con inventario, CRM y facturación) | Mantenimiento y hosting (SSL, actualizaciones, backups diarios) | Integración con WhatsApp (botón conectado al chatbot Clientum). || E-Commerce — tecnología omnicanal: El 70% del tráfico en Latinoamérica es mobile — diseñamos para que tu tienda cargue rápido y se vea increíble en cualquier dispositivo. || Servicios E-Commerce: E-Commerce Website (identidad de marca, mobile/desktop, UI/UX, integraciones) | Marketplaces (creación, diseño, gestión de cambios y devoluciones, catalogación) | Plataforma Omnicanal (precios, stock, órdenes, medios de pago, courier) | Métricas (analytics, conversión, A/B testing, dashboards) | Correos corporativos | Diseño UX/UI (análisis, wireframing, prototipado, maquetado). || ¿Tenés un proyecto en mente? Contanos qué necesitás y te damos presupuesto en 48 horas.","Pedir presupuesto","Presupuesto en 48 horas | Mobile-first | 70% tráfico mobile en LATAM"
