ID,Sección / Pantalla,Tipo,Título Principal,Descripción / Subtítulo,Campos / Inputs,Botones y CTAs,KPIs / Stats Mostrados,Filtros / Opciones Disponibles,Funcionalidad IA (Gemini),Datos de Muestra / Placeholders,Columnas de Tabla / CSV Exportable,Estados Especiales (vacío / carga / error),Notas Técnicas
"sucursales","Sucursales","Módulo delegado a CrmFullApp","Sucursales","Tab que delega su contenido al componente CrmFullApp con activeTabOverride=""branches"". Gestión de sucursales y territorios.","","","","","","","","","Renderizado via <CrmFullApp activeTabOverride=""branches"">. Ver CrmFullBranches.tsx para contenido completo."
"conversaciones","Conversaciones","Módulo delegado a CrmFullApp","Conversaciones","Tab que delega su contenido al componente CrmFullApp con activeTabOverride=""conversations"". Historial de conversaciones y mensajes de WhatsApp con leads.","","","","","","","","","Renderizado via <CrmFullApp activeTabOverride=""conversations"">. Ver CrmFullConversations.tsx y CrmConversationDetail.tsx."
"bot","Bot","Módulo delegado a CrmFullApp","Bot","Tab que delega su contenido al componente CrmFullApp con activeTabOverride=""bot"". Configuración del chatbot de WhatsApp.","","","","","","","","","Renderizado via <CrmFullApp activeTabOverride=""bot"">. Ver CrmFullBotConfig.tsx para contenido completo."
"brochure","Brochure — Editor + Preview","Editor de propuesta comercial","Brochure","Editor lateral (SidebarEditor) + preview en vivo (BrochurePreview) del brochure comercial PDF de Clientum. Permite personalizar textos, servicios, precios, tema de color, chatbot y contacto.","SidebarEditor: datos de brochure (textos, servicios, testimonios, contacto, etc.) | Selector de preset de plantilla | Selector de tema de color | Toggle ocultar precios | Toggle ocultar chatbot | Selector de página activa","Página Única | Ver Todas (Imprimir) | Reiniciar textos (RefreshCw) | Imprimir / PDF (diálogo de impresión) | Descargar PDF (exportación vectorial alta calidad)","","Navegador de páginas: Pág. 1 a Pág. N (oculto en modo Ver Todas)","","Páginas activas sin chatbot: [1, 2, 4, 6, 7, 8] | Con chatbot: [1, 2, 3, 4, 5, 6, 7, 8]","","","Comparte estado brochureData y colorTheme con el app principal. PDF se captura del DOM live. Props: onPrint, onExportPDF, onResetBrochure."
"config","Configuración","Módulo delegado a SidebarEditor (activeTabOverride=""config"")","Configuración","Configuración general del CRM/brochure: colores, contacto, preset de plantilla, visibilidad de precios y chatbot, plantillas personalizadas.","","","","","","contactInfo default: website clientum.com.ar | email info@clientum.com.ar | phone +54 9 298 451-0883 | address General Roca, Río Negro, Argentina","","","Renderizado via SidebarEditor con hideTabs y activeTabOverride=""config"". Con BrochurePreview en panel derecho."
"pages","Contenido (Páginas)","Módulo delegado a SidebarEditor (activeTabOverride=""pages"")","Contenido","Editor de páginas y contenido del brochure. Permite modificar textos, servicios, precios, testimonios y otros contenidos.","","","","","","","","","Renderizado via SidebarEditor con hideTabs y activeTabOverride=""pages""."
"ai","Copiloto IA","Módulo delegado a SidebarEditor (activeTabOverride=""ai"")","Copiloto IA","Asistente de IA para generar y editar contenido del brochure. Powered by Gemini.","","","","","Gemini AI para generación y sugerencias de contenido del brochure","","","","Renderizado via SidebarEditor con hideTabs y activeTabOverride=""ai""."
"activity","Actividad","Módulo delegado a SidebarEditor (activeTabOverride=""activity"")","Actividad","Registro de actividad del CRM: movimientos de etapa, leads creados, acciones realizadas. Usa sharedStore.addActivity().","","","","","","Activity types registrados: ""stage"" (deal pasó a etapa X) | creación de leads desde Patagonia Explorer | acciones manuales","","","addActivity() desde sharedStore. Renderizado via SidebarEditor con hideTabs y activeTabOverride=""activity""."
"quickcreate","Creación Rápida","Módulo delegado a SidebarEditor (activeTabOverride=""quickcreate"")","Creación Rápida","Creación rápida de deals/leads directamente desde el panel sin necesidad de ir al pipeline. Sincronizado con sharedStore vía evento DEALS_EVENT.","","","","","","","","","Deals creados aquí se sincronizan en tiempo real al pipeline sin recargar. Renderizado via SidebarEditor con hideTabs y activeTabOverride=""quickcreate""."
"modal_google_api","Modal — Configuración de API Key Google Places","Modal overlay","Configuración de API Key: Google Places (New)","Modal para ingresar, validar y guardar la clave de Google Places API. Permite activar búsquedas 100% reales en Google Maps.","API Key (password input, placeholder ""AIzaSy..."", prefijo icono Key)","Validar y Guardar | Cerrar | Remover Clave | Ir a console.cloud.google.com (link externo)","","","Validación: /api/generate → action: ""validateGooglePlacesKey"" payload: { apiKey }. Retorna { success, error }.","Guía Rápida 3 pasos: 1. Ir a console.cloud.google.com | 2. Habilitar Places API (New) en Biblioteca | 3. Crear API Key en APIs y Servicios → Credenciales (activar facturación, Google regala saldo mensual gratuito) | ""Tu clave se guarda localmente en este navegador de forma 100% segura.""","","Validación exitosa: ""¡Validación Exitosa! La clave de Google Maps se validó con éxito en el servidor y ha sido guardada de manera local."" | Error: ""Clave no válida + mensaje de error"" | Clave guardada activa: muestra primeros 6 y últimos 4 caracteres","Clave guardada en localStorage(""custom_google_maps_key""). Sin clave → MODO SIMULADO. Con clave → ONLINE (Google). isValidatingKey muestra spinner ""Validando en Google...""."
"checklist_pipeline","Checklist de Acciones del Pipeline","Panel de tareas diarias","Plan de Acción de Ventas","Lista de 5 tareas comerciales diarias con checkbox. Persiste en localStorage. Visible junto al Kanban en la tab Pipeline.","Checkbox por tarea (toggle checked/unchecked) | Texto de tarea editable (inline)","Checkboxes interactivos","","","","Tarea 1: ""Buscar 5 nuevos prospectos locales de acopio o logística"" (unchecked) | Tarea 2: ""Investigar señales de compra de los top 3 leads"" (unchecked) | Tarea 3: ""Calificar con MEDDIC los contactos en etapa Propuesta"" (checked) | Tarea 4: ""Generar secuencias de outreach personalizadas"" (unchecked) | Tarea 5: ""Enviar correos de seguimiento a leads fríos"" (unchecked)","","","Persiste en localStorage(""clientum_pipeline_checklist""). Sección adyacente al Kanban (lg:col-span-1 del grid de 4 cols)."
"state_crm_data","Datos Compartidos del CRM — Estado Global","Arquitectura de datos","CRMDeal — Modelo de Datos del Lead","Estructura de datos del CRMDeal usada en todo el sistema. Sincronizada entre tabs via sharedStore event bus (DEALS_EVENT).","","","","","","CRMDeal campos: id, company, amount, stage (leads|bot_contact|proposed|closed), industry, city, address, phone, contact, contactEmail, contactLinkedIn, contactTitle, painPoint, guiacoresUrl, buyingSignals[], fitScore, fitReasoning, meddicMetrics(1-5), meddicBuyer(1-5), meddicCriteria(1-5), meddicProcess(1-5), meddicPain(1-5), meddicChampion(1-5), meddicScore(0-100), meddicRedFlags, meddicNextActions[], outreachEmail1, outreachEmail2, outreachEmail3, outreachLinkedIn[], outreachPhoneScript | Deal nuevo manual: meddicScore:40, amount:180000 default | Prospecto de mapa: meddicScore:50, amount:180000 default","","","Cargado de: brochureData.crm.deals → loadDeals() localStorage → INITIAL_DEALS (src/data.ts). Persistido via saveDeals() en cada cambio. Sincronizado en tiempo real entre tabs via CustomEvent DEALS_EVENT. También disponible via onChangeDeals() prop para persistencia upstream."
